Country,Population
Austria,9158800
Belgium,11832000
Bulgaria,6445500
Croatia,3862000
Cyprus,933500
Czech Republic,10900600
Denmark,5961200
Estonia,1374700
Finland,5603900
France,68402000
Germany,83445000
Greece,10397200
Hungary,9584600
Ireland,5343800
Italy,58989700
Latvia,1871900
Lithuania,2885900
Luxembourg,672100
Malta,563
Netherlands,17942900
Poland,36621000
Portugal,10639700
Romania,19064400
Slovakia,5424700
Slovenia,2123900
Spain,48610500
Sweden,10551700
